student_id,age,gender,region,parent_education,average_grade,absenteeism_rate,assignments_submitted,moodle_hours,forum_posts,satisfaction_score,dropout
2088,29,Male,Tsevie,Secondary,12.29,16.57,68.88,16.67,1,3.7,Yes
2089,27,Male,Notse,None,12.91,20.49,97.05,16.36,4,4.1,No
2090,21,Male,Dapaong,Higher,12.99,12.82,90.27,7.79,1,2.5,No
2091,17,Male,Lome,Secondary,7.59,23.45,67.93,0.39,1,9.0,Yes
2092,19,Female,Lome,Secondary,11.53,2.02,53.53,3.29,4,4.1,No
2093,23,Female,Sokode,Secondary,12.75,0.0,93.38,1.49,0,3.7,Yes
2094,28,Male,Tsevie,Secondary,13.38,14.7,78.29,7.41,6,7.5,No
2095,31,Female,Dapaong,Secondary,9.23,35.54,64.28,1.07,1,3.8,Yes
2096,21,Male,Atakpame,Higher,8.19,27.08,46.7,20.38,1,5.2,No
2097,31,Female,Notse,Primary,11.3,6.92,85.11,18.98,3,10.0,No
2098,24,Female,Tsevie,Primary,17.9,20.16,59.02,1.7,0,5.4,No
2099,26,Male,Tsevie,None,9.54,8.64,76.38,11.87,3,5.2,Yes
2100,32,Male,Atakpame,Primary,15.52,19.26,74.18,11.92,4,8.2,No
2101,24,Male,Kara,Primary,16.75,20.04,81.98,5.05,1,1.4,Yes
2102,17,Male,Notse,Primary,12.14,24.26,72.26,1.66,4,4.4,Yes
2103,28,Female,Sokode,None,9.96,0.0,77.82,1.42,5,7.3,Yes
2104,21,Female,Notse,Primary,13.54,2.34,44.89,13.45,6,9.2,No
2105,19,Male,Dapaong,Primary,12.58,14.24,79.92,2.49,3,6.8,No
2106,17,Female,Sokode,None,9.42,4.68,51.65,9.25,2,5.8,Yes
2107,20,Female,Atakpame,Secondary,10.02,3.9,63.52,20.09,6,5.2,No
2108,24,Male,Dapaong,Secondary,13.36,17.72,70.75,8.99,5,5.3,No
2109,19,Male,Lome,None,14.8,5.84,81.21,36.48,3,5.2,No
2110,26,Female,Lome,Secondary,11.03,37.58,84.55,10.37,8,9.5,Yes
2111,18,Male,Notse,Higher,11.79,9.67,82.3,3.78,5,8.3,Yes
2112,27,Male,Dapaong,Higher,14.01,12.3,45.71,19.14,6,3.9,Yes
2113,26,Female,Sokode,None,11.48,17.98,63.21,3.72,3,1.5,Yes
2114,30,Female,Sokode,Secondary,11.1,0.0,56.84,35.6,3,7.2,No
2115,23,Male,Lome,Primary,9.73,20.09,63.91,6.5,5,7.6,No
2116,18,Female,Lome,None,9.68,18.41,78.81,30.63,5,7.9,Yes
2117,25,Male,Atakpame,Primary,20.01,11.51,51.58,2.03,0,3.1,No
2118,32,Male,Dapaong,Primary,11.41,17.74,70.13,0.11,3,6.7,No
2119,29,Female,Sokode,Secondary,16.1,19.28,93.09,2.18,2,6.8,No
2120,25,Female,Atakpame,Secondary,17.05,29.35,83.87,1.04,2,2.0,Yes
2121,20,Male,Sokode,Secondary,11.45,40.0,83.52,13.24,2,8.0,Yes
2122,26,Male,Lome,Primary,13.11,4.38,90.92,3.07,3,6.3,No
2123,28,Male,Dapaong,Primary,12.31,2.03,63.95,10.2,4,5.5,No
2124,33,Female,Kara,Primary,7.16,16.03,85.57,11.05,3,1.4,Yes
2125,30,Male,Dapaong,Primary,7.34,0.0,43.52,11.66,5,5.1,Yes
2126,30,Female,Tsevie,Higher,12.15,21.49,43.39,17.87,4,8.7,No
2127,18,Male,Kara,Secondary,10.73,16.13,59.91,1.61,5,4.3,Yes
2128,27,Female,Notse,Higher,17.67,18.67,51.81,0.52,4,9.8,No
2129,32,Male,Notse,Secondary,11.29,11.96,71.11,0.3,3,8.1,No
2130,22,Female,Atakpame,Secondary,17.85,17.55,50.99,1.1,3,8.4,Yes
2131,21,Male,Kara,Primary,10.57,19.72,98.53,4.77,3,6.3,Yes
2132,20,Male,Kara,Secondary,17.74,17.0,91.07,34.23,7,3.5,Yes
2133,31,Male,Atakpame,Secondary,13.52,1.55,98.95,4.36,4,4.6,No
2134,20,Male,Dapaong,Higher,13.69,16.72,88.47,6.03,4,6.6,Yes
2135,26,Female,Atakpame,Secondary,10.46,33.54,97.07,16.84,2,9.0,Yes
2136,19,Female,Tsevie,Primary,13.73,17.41,62.09,25.08,4,7.5,No
2137,21,Female,Lome,Secondary,17.08,16.37,69.87,35.56,2,4.2,Yes
2138,22,Female,Notse,Higher,11.57,30.6,54.39,17.51,3,3.3,Yes
2139,24,Female,Lome,Secondary,10.98,7.54,78.15,6.98,2,6.7,No
2140,23,Male,Notse,Secondary,11.26,23.9,87.29,2.61,4,1.7,Yes
2141,26,Female,Kara,None,16.86,9.7,69.92,9.12,1,4.4,Yes
2142,22,Female,Atakpame,Secondary,14.57,25.87,57.78,2.19,4,3.3,Yes
2143,30,Female,Atakpame,None,16.34,22.98,70.46,0.57,6,8.8,No
2144,20,Female,Atakpame,None,12.94,10.88,43.77,25.18,6,6.9,No
2145,29,Male,Tsevie,Secondary,12.12,12.34,83.27,6.63,6,2.1,Yes
2146,33,Male,Tsevie,Primary,13.27,24.78,67.1,7.1,3,5.6,No
2147,23,Male,Dapaong,Secondary,15.21,0.0,93.89,9.4,3,8.1,No
2148,20,Male,Sokode,Higher,11.26,10.58,95.4,6.0,4,2.0,Yes
2149,30,Female,Notse,Primary,16.11,21.2,47.53,5.88,2,6.1,No
2150,19,Female,Sokode,Secondary,13.1,11.92,99.77,24.67,3,7.8,No
2151,21,Male,Sokode,Secondary,4.78,16.35,98.19,16.96,1,2.9,Yes
2152,32,Male,Notse,Primary,14.65,0.0,77.63,2.39,3,9.4,No
2153,20,Female,Dapaong,Secondary,8.18,6.46,89.53,3.45,3,6.0,No
2154,18,Female,Atakpame,Secondary,14.58,21.79,41.11,10.81,1,6.7,No
2155,34,Male,Sokode,Secondary,14.7,7.49,98.22,8.47,3,4.2,Yes
2156,33,Male,Atakpame,Higher,12.99,1.98,67.38,14.53,1,8.0,No
2157,30,Male,Kara,Secondary,13.63,25.62,94.58,13.01,4,6.4,No
2158,29,Male,Sokode,Higher,15.3,20.16,63.11,12.33,4,9.3,No
2159,28,Female,Kara,Secondary,10.51,4.11,87.29,21.22,2,5.4,No
2160,22,Female,Dapaong,Primary,14.38,16.39,65.08,14.55,5,6.5,No
2161,20,Female,Lome,Secondary,15.49,4.44,61.76,2.78,2,6.2,No
2162,32,Male,Tsevie,Primary,17.28,13.48,96.81,20.62,4,6.2,No
2163,29,Female,Notse,Secondary,8.68,16.76,81.95,4.09,4,7.4,Yes
2164,20,Female,Dapaong,Secondary,13.23,6.92,90.4,24.18,4,1.9,Yes
2165,33,Male,Dapaong,Secondary,9.12,22.42,72.6,17.39,3,6.4,No
2166,17,Male,Dapaong,None,8.99,23.97,95.1,0.77,3,4.8,Yes
2167,34,Male,Sokode,Secondary,13.08,17.64,84.4,14.75,0,5.1,No
2168,33,Male,Kara,None,12.23,19.14,44.33,6.93,3,4.9,Yes
2169,31,Male,Tsevie,Secondary,15.44,0.47,86.01,37.77,3,2.0,No
2170,27,Male,Sokode,Secondary,10.96,28.62,41.12,6.13,3,1.1,No
2171,29,Female,Lome,Higher,11.6,14.09,89.74,0.69,2,2.0,Yes
2172,17,Female,Notse,Primary,12.63,5.65,59.91,3.47,1,4.9,Yes
2173,33,Female,Notse,Secondary,9.41,16.46,75.9,5.62,1,4.4,Yes
2174,22,Female,Tsevie,Secondary,9.83,22.45,84.96,8.96,2,2.3,No
2175,20,Female,Notse,Higher,15.35,20.12,78.22,1.65,3,7.5,Yes
2176,32,Female,Notse,Secondary,10.35,4.15,80.34,7.24,0,7.4,No
2177,31,Male,Dapaong,Primary,15.55,22.58,93.56,6.61,3,9.2,No
2178,31,Male,Atakpame,Secondary,13.82,14.39,62.44,18.12,5,8.6,No
2179,22,Male,Lome,Secondary,7.36,20.01,72.83,3.6,1,8.5,Yes
2180,31,Female,Kara,Secondary,13.59,6.98,50.5,5.97,5,8.2,No
2181,30,Female,Lome,Higher,13.57,25.46,68.05,4.92,2,8.9,No
2182,27,Male,Sokode,Primary,13.27,16.83,49.0,10.0,1,5.6,No
2183,23,Male,Notse,Higher,11.57,26.89,78.02,18.09,6,1.7,Yes
2184,25,Male,Atakpame,None,9.18,0.0,59.46,11.26,2,6.1,Yes
2185,32,Male,Sokode,Higher,16.04,0.99,91.54,6.26,2,8.6,No
2186,21,Male,Tsevie,Higher,11.7,12.6,60.61,10.16,1,1.9,Yes
2187,26,Female,Dapaong,Secondary,9.35,29.68,57.21,3.89,5,8.4,Yes
2188,34,Female,Notse,Secondary,13.37,34.63,69.48,1.56,3,2.2,No
2189,19,Female,Dapaong,None,9.77,6.12,50.52,3.85,3,1.2,Yes
2190,29,Male,Lome,None,9.15,15.53,52.23,5.86,5,7.3,Yes
2191,27,Female,Dapaong,Primary,10.87,16.55,86.99,5.79,1,6.8,No
2192,33,Male,Dapaong,None,10.0,22.18,69.83,13.38,1,8.9,No
2193,29,Female,Tsevie,Secondary,9.26,23.85,52.38,27.54,3,7.0,Yes
2194,22,Male,Kara,Primary,14.42,3.86,41.89,4.93,5,3.4,Yes
2195,33,Male,Kara,Higher,11.66,15.65,67.99,0.9,4,9.3,No
2196,29,Female,Sokode,Secondary,15.76,0.0,84.56,0.34,0,9.1,No
2197,26,Female,Notse,Secondary,9.44,23.11,61.07,0.04,6,9.5,Yes
2198,19,Female,Sokode,Secondary,6.82,11.61,54.88,27.82,2,7.6,Yes
2199,30,Female,Kara,Primary,12.45,2.95,63.78,54.34,3,8.8,No
2200,21,Female,Lome,Primary,17.57,18.33,97.55,0.53,3,3.2,Yes
2201,21,Male,Kara,Primary,13.59,11.3,65.39,4.43,4,6.3,No
2202,33,Female,Sokode,Secondary,21.65,27.61,55.58,11.07,2,3.4,Yes
2203,26,Female,Atakpame,Secondary,13.0,6.07,74.15,1.97,3,3.9,No
2204,21,Male,Notse,Primary,12.71,37.23,88.64,9.02,3,8.4,No
2205,20,Female,Dapaong,Higher,5.53,23.55,41.34,16.8,2,7.4,Yes
2206,22,Male,Tsevie,None,13.28,27.88,73.49,19.53,5,9.3,No
2207,20,Female,Atakpame,Secondary,12.51,4.71,90.18,12.26,3,8.0,No
2208,23,Female,Atakpame,Secondary,10.78,32.88,52.94,0.85,7,3.6,Yes
2209,23,Male,Dapaong,Secondary,11.59,2.87,95.3,4.28,6,8.9,No
2210,34,Female,Kara,Higher,11.8,12.9,74.66,34.22,4,1.7,No
2211,19,Female,Notse,Secondary,11.46,28.05,71.0,2.14,2,1.7,Yes
2212,17,Female,Lome,Secondary,18.27,20.07,97.82,6.05,0,3.5,Yes
2213,20,Female,Atakpame,Primary,10.89,2.61,47.78,4.07,2,8.2,No
2214,22,Male,Lome,Higher,12.51,26.35,84.41,2.3,3,9.3,No
2215,25,Male,Tsevie,Secondary,10.79,18.4,89.11,3.91,2,6.8,No
2216,30,Female,Tsevie,None,14.35,10.84,69.31,2.1,0,9.4,No
2217,28,Female,Tsevie,Secondary,12.53,0.0,40.39,20.98,0,6.4,Yes
2218,20,Male,Sokode,Primary,11.16,19.35,71.46,1.92,1,9.4,Yes
2219,28,Male,Atakpame,None,6.22,13.37,49.21,9.77,0,4.8,Yes
2220,26,Female,Tsevie,Higher,12.73,16.56,73.75,28.53,3,9.8,No
2221,23,Male,Sokode,Secondary,11.07,0.0,84.32,30.5,4,2.9,Yes
2222,19,Male,Tsevie,Primary,11.82,10.81,71.86,9.17,2,3.1,Yes
2223,30,Male,Kara,Secondary,8.45,19.8,77.85,3.16,4,3.2,Yes
2224,26,Male,Atakpame,Higher,16.3,33.76,46.24,2.85,2,2.5,No
2225,32,Female,Sokode,None,14.57,12.95,45.82,13.76,6,5.6,No
2226,32,Male,Tsevie,Secondary,16.29,29.43,91.06,39.48,7,5.9,No
2227,26,Female,Notse,Secondary,15.44,22.87,42.96,0.81,3,8.0,No
2228,29,Female,Sokode,Primary,13.78,17.34,57.06,15.58,7,3.7,Yes
2229,22,Male,Tsevie,Secondary,8.57,4.88,96.26,1.31,3,9.2,Yes
2230,28,Female,Kara,None,17.53,5.3,67.53,3.54,2,8.5,No
2231,25,Female,Lome,Secondary,9.22,21.18,80.47,8.36,1,7.7,Yes
2232,29,Male,Tsevie,Higher,11.19,9.74,53.3,3.53,4,9.8,No
2233,20,Male,Lome,Primary,14.12,8.85,56.23,10.51,2,1.2,No
2234,27,Male,Atakpame,Higher,14.27,13.19,70.54,5.4,5,9.9,No
2235,34,Female,Kara,Secondary,13.72,13.36,78.29,2.47,3,3.1,Yes
2236,27,Female,Notse,Primary,10.8,24.01,97.63,7.57,3,1.4,No
2237,20,Female,Atakpame,Secondary,10.18,9.95,74.47,0.24,6,5.0,No
2238,34,Female,Notse,None,19.6,23.01,45.76,13.51,5,7.2,No
2239,17,Male,Lome,Higher,11.88,19.4,62.02,7.39,1,3.7,Yes
2240,23,Female,Kara,Secondary,11.51,0.0,54.65,29.32,2,5.0,No
2241,22,Male,Dapaong,Secondary,9.86,17.95,55.26,1.08,1,3.1,Yes
2242,31,Male,Kara,Secondary,12.73,0.0,70.32,13.18,3,1.0,Yes
2243,34,Male,Kara,Secondary,12.59,6.05,59.0,3.58,3,9.0,No
2244,27,Male,Notse,Higher,11.95,19.63,57.36,4.67,2,4.3,Yes
2245,31,Female,Dapaong,Secondary,13.15,14.89,98.08,4.28,2,2.3,Yes
2246,32,Male,Sokode,Higher,17.29,0.0,75.04,4.43,6,4.5,Yes
2247,23,Female,Sokode,Secondary,10.21,3.81,55.71,5.64,7,1.1,Yes
2248,26,Male,Sokode,Primary,12.13,0.0,56.55,0.21,2,1.7,No
2249,28,Male,Lome,Higher,10.06,1.57,88.66,18.76,3,6.0,No
2250,30,Male,Kara,Secondary,12.88,20.79,93.19,21.35,5,3.0,Yes
2251,21,Female,Tsevie,Secondary,10.29,9.43,80.74,0.4,2,6.9,No
2252,34,Male,Dapaong,Higher,10.42,16.7,65.89,14.96,1,5.1,No
2253,21,Male,Tsevie,None,7.62,15.14,85.87,0.75,4,1.6,No
2254,19,Male,Lome,Secondary,12.29,15.33,96.24,16.49,5,5.8,No
2255,21,Male,Dapaong,Primary,13.29,25.23,49.97,9.49,5,6.7,No
2256,33,Female,Tsevie,Secondary,17.58,12.97,91.7,3.66,4,6.0,No
2257,28,Female,Notse,Higher,13.41,24.11,90.93,9.52,1,3.3,Yes
2258,25,Male,Lome,Higher,10.65,0.0,61.99,7.07,3,1.3,No
2259,17,Male,Lome,Secondary,7.92,26.11,57.51,10.1,3,4.8,Yes
2260,34,Female,Lome,Secondary,8.34,2.1,73.92,6.45,4,6.9,Yes
2261,20,Female,Dapaong,Higher,8.11,4.27,56.34,14.82,1,1.6,Yes
2262,26,Female,Tsevie,Secondary,17.63,7.95,48.72,0.46,1,9.3,No
2263,23,Male,Tsevie,Primary,12.86,25.84,97.18,4.22,2,4.1,Yes
2264,17,Female,Atakpame,Secondary,10.25,6.11,69.48,8.19,5,4.1,No
2265,33,Male,Lome,Higher,9.12,8.44,68.34,8.87,1,4.0,Yes
2266,18,Female,Sokode,Higher,9.43,5.38,47.57,1.86,3,9.1,No
2267,27,Female,Kara,Secondary,10.17,17.55,70.25,0.77,8,9.5,No
2268,25,Male,Notse,Higher,15.95,22.44,84.57,0.21,4,9.0,No
2269,23,Female,Notse,Primary,11.91,32.04,54.88,5.33,3,8.1,No
2270,33,Male,Atakpame,Primary,7.66,39.0,62.13,4.01,2,3.3,Yes
2271,33,Female,Atakpame,Higher,18.93,21.5,50.73,8.39,2,7.7,No
2272,18,Male,Dapaong,Primary,8.58,18.66,61.3,5.97,2,3.6,No
2273,22,Female,Atakpame,Primary,10.23,2.83,91.68,5.01,3,4.4,No
2274,30,Female,Tsevie,Secondary,15.93,34.09,54.22,18.54,6,2.3,Yes
2275,22,Male,Dapaong,Secondary,13.25,17.15,41.77,9.72,1,5.7,No
2276,18,Male,Dapaong,Secondary,10.59,12.11,72.17,10.39,2,8.3,No
2277,17,Male,Notse,Primary,8.31,18.88,74.77,4.81,5,7.1,Yes
2278,26,Male,Notse,Higher,9.1,8.64,59.73,15.0,1,4.4,Yes
2279,21,Female,Sokode,Higher,9.28,0.0,78.49,1.65,3,7.0,Yes
2280,18,Female,Lome,Primary,12.02,20.72,42.27,5.14,4,6.7,No
2281,32,Female,Atakpame,Secondary,12.57,28.42,60.43,0.48,3,5.9,No
2282,18,Female,Lome,Secondary,11.55,20.57,48.67,1.23,2,3.4,Yes
2283,26,Female,Lome,Secondary,11.88,14.93,53.79,0.85,3,1.3,No
2284,18,Female,Lome,Primary,8.85,15.13,62.95,5.82,4,1.3,Yes
2285,32,Male,Dapaong,Secondary,12.88,16.72,69.6,11.95,3,9.6,Yes
2286,32,Female,Lome,Primary,15.84,16.42,45.59,3.75,2,8.8,No
2287,23,Female,Atakpame,Primary,11.51,14.39,46.08,0.27,0,3.1,No
2288,28,Male,Dapaong,Secondary,11.45,15.25,80.44,12.28,4,2.7,Yes
2289,31,Female,Atakpame,Secondary,12.25,30.55,64.25,2.32,0,3.7,Yes
2290,24,Female,Dapaong,Secondary,15.35,19.72,50.59,12.83,2,6.2,No
2291,22,Female,Kara,Secondary,9.32,16.05,54.1,0.07,3,1.2,Yes
2292,26,Male,Kara,Primary,16.35,21.59,83.2,3.74,4,9.0,No
2293,19,Male,Kara,Secondary,13.26,21.59,43.11,9.71,5,8.0,No
2294,33,Female,Kara,None,12.09,24.46,70.52,20.49,2,5.8,No
2295,23,Male,Dapaong,Secondary,15.64,7.43,61.62,14.03,1,8.8,No
2296,20,Female,Lome,Secondary,8.45,10.19,88.67,5.97,0,5.9,Yes
2297,30,Female,Sokode,Secondary,13.57,6.86,87.41,12.68,5,1.8,Yes
2298,31,Female,Notse,Secondary,13.29,22.67,81.35,7.71,1,6.0,No
2299,24,Male,Tsevie,Secondary,9.19,22.18,63.09,16.79,3,5.3,Yes
2300,31,Female,Sokode,Higher,13.38,2.27,77.87,14.79,4,7.2,No
2301,30,Female,Kara,Secondary,12.85,18.91,78.39,37.24,2,4.1,No
2302,25,Female,Lome,Secondary,11.46,28.72,59.93,1.11,0,4.2,Yes
2303,24,Female,Atakpame,Higher,14.59,12.65,92.8,4.17,3,9.5,Yes
2304,33,Female,Lome,Secondary,10.28,18.14,99.09,2.14,1,9.3,No
2305,18,Male,Atakpame,Secondary,12.81,22.3,58.87,9.96,3,9.1,No
2306,19,Female,Sokode,None,11.6,1.79,88.07,10.91,2,4.7,Yes
2307,24,Male,Lome,Primary,10.16,16.52,70.05,2.28,4,7.7,No
2308,28,Female,Lome,Secondary,13.51,27.72,67.82,5.47,3,9.5,No
2309,17,Male,Tsevie,Secondary,11.38,9.07,63.19,9.22,7,9.7,No
2310,26,Female,Sokode,Secondary,7.58,23.32,57.52,10.76,3,3.2,Yes
2311,19,Female,Lome,Higher,6.6,15.27,95.17,1.08,3,2.9,Yes
2312,22,Male,Atakpame,Primary,14.37,8.25,84.45,25.39,8,5.5,No
2313,23,Male,Notse,Secondary,8.34,14.03,66.44,0.35,2,8.8,No
2314,34,Female,Lome,Secondary,12.84,9.74,85.09,36.1,4,5.8,No
2315,27,Male,Atakpame,Secondary,12.16,6.12,83.12,3.8,6,8.1,No
2316,21,Male,Kara,Higher,10.89,12.46,56.04,3.8,6,5.3,Yes
2317,27,Female,Lome,Primary,17.87,15.68,50.57,5.91,6,7.8,No
2318,28,Female,Atakpame,None,12.54,13.34,90.18,11.87,2,3.4,Yes
2319,26,Female,Notse,Secondary,14.27,12.35,88.68,1.74,5,8.4,No
2320,24,Female,Sokode,Secondary,12.85,17.26,99.81,2.94,6,8.2,No
2321,25,Female,Kara,Secondary,11.31,20.31,41.16,32.59,5,3.0,Yes
2322,20,Male,Lome,Higher,11.94,3.56,72.42,20.94,3,8.9,No
2323,21,Female,Tsevie,None,16.38,12.48,82.08,2.39,3,2.1,Yes
2324,24,Male,Atakpame,Secondary,15.26,0.0,74.95,8.51,5,7.9,No
2325,25,Female,Notse,Secondary,17.86,13.38,82.63,2.28,3,8.7,No
2326,31,Female,Tsevie,Higher,12.66,16.51,48.24,7.99,1,8.5,No
2327,31,Male,Lome,Higher,9.37,20.7,40.09,4.55,3,3.2,No
2328,32,Female,Atakpame,Secondary,10.68,16.54,45.58,4.5,1,1.7,No
2329,30,Male,Lome,Secondary,8.44,20.48,62.8,10.08,2,1.3,Yes
2330,24,Male,Kara,Primary,14.3,15.65,59.74,2.9,2,1.2,No
2331,34,Male,Notse,Primary,10.24,8.24,92.44,5.18,2,5.6,No
2332,26,Female,Notse,Secondary,2.83,3.84,45.01,25.94,3,2.8,Yes
2333,22,Female,Kara,Secondary,19.39,12.37,66.56,14.08,2,8.8,No
2334,28,Female,Lome,Secondary,10.29,7.34,97.47,4.83,2,2.5,No
2335,18,Female,Lome,Secondary,10.27,13.8,70.17,2.62,3,7.0,No
2336,23,Female,Dapaong,Secondary,17.01,10.08,47.94,10.76,0,9.3,No
2337,32,Female,Lome,Secondary,8.38,19.19,57.48,16.49,1,9.7,Yes
2338,19,Male,Notse,Primary,15.41,15.49,77.61,19.72,5,8.7,No
2339,29,Female,Lome,Primary,10.24,19.47,40.72,8.31,6,2.8,No
2340,19,Female,Tsevie,Primary,8.03,19.42,98.09,7.27,3,5.8,Yes
2341,34,Female,Tsevie,Higher,17.12,13.2,74.02,12.72,1,2.7,Yes
2342,27,Female,Kara,None,14.77,13.82,82.25,1.93,2,6.4,No
2343,24,Male,Tsevie,Higher,14.76,20.02,69.94,19.11,2,3.2,No
2344,22,Male,Lome,Primary,13.1,39.46,97.48,0.77,8,4.0,Yes
2345,17,Male,Sokode,Secondary,13.8,5.11,75.35,9.24,1,6.0,No
2346,17,Male,Lome,Higher,8.3,15.42,79.72,8.91,4,2.1,Yes
2347,24,Male,Notse,Secondary,12.33,3.04,91.65,3.72,2,4.2,Yes
2348,21,Female,Dapaong,Primary,9.21,14.79,91.69,0.36,1,4.1,Yes
2349,32,Male,Atakpame,Primary,7.83,8.26,41.69,12.65,4,6.3,No
2350,27,Male,Notse,Higher,13.23,13.8,57.0,0.24,5,6.2,No
2351,21,Female,Kara,Secondary,15.47,16.55,54.78,1.98,2,4.5,No
2352,20,Female,Tsevie,Secondary,10.85,10.11,40.4,7.86,3,8.8,No
2353,22,Male,Sokode,Secondary,11.36,0.0,92.61,28.13,6,6.8,No
2354,30,Female,Notse,Primary,8.59,29.26,59.03,0.68,4,8.2,Yes
2355,25,Female,Atakpame,Primary,12.02,23.39,60.82,8.65,3,6.1,Yes
2356,28,Male,Sokode,Secondary,14.28,13.69,45.98,3.99,3,4.4,No
2357,27,Female,Kara,Secondary,14.37,6.05,99.38,11.07,4,4.4,Yes
2358,30,Male,Tsevie,Primary,13.64,15.85,89.58,30.56,2,2.9,Yes
2359,32,Male,Dapaong,Secondary,10.14,18.61,74.31,3.13,5,8.5,No
2360,17,Female,Notse,Higher,10.05,22.7,86.32,31.22,5,8.6,No
2361,29,Male,Notse,Higher,14.39,23.62,86.63,20.45,5,2.0,Yes
2362,29,Male,Notse,Primary,14.44,25.51,79.4,9.34,4,8.5,No
2363,18,Female,Kara,Primary,11.48,0.0,50.44,14.2,10,8.4,No
2364,20,Female,Sokode,Higher,10.72,11.95,83.22,20.02,3,6.4,No
2365,22,Female,Sokode,Primary,15.5,24.93,74.18,16.27,4,7.7,No
2366,21,Female,Kara,None,10.92,5.76,83.44,3.96,3,9.3,No
2367,19,Male,Notse,Higher,14.24,27.19,72.61,16.75,3,5.4,No
2368,17,Female,Lome,Primary,11.59,33.1,97.38,3.76,7,8.0,No
2369,20,Female,Kara,Secondary,8.86,26.91,77.62,20.18,2,9.6,Yes
2370,18,Male,Tsevie,Secondary,16.84,21.62,74.42,2.95,3,4.4,No
2371,21,Male,Tsevie,Higher,12.36,10.52,90.57,8.49,2,5.0,No
2372,19,Male,Dapaong,Primary,9.87,17.82,62.75,11.81,2,6.9,Yes
2373,25,Male,Kara,Higher,7.83,1.54,58.95,5.55,3,5.5,Yes
2374,22,Female,Atakpame,Secondary,8.13,7.19,70.19,15.28,4,3.3,No
2375,34,Female,Tsevie,Secondary,10.88,7.89,75.07,25.95,2,6.5,No
2376,22,Male,Tsevie,Primary,17.78,15.62,53.23,2.06,3,7.8,No
2377,28,Male,Tsevie,Primary,10.25,11.08,80.94,0.34,4,1.1,No
2378,27,Male,Lome,Secondary,16.34,17.62,88.14,9.85,2,2.8,Yes
2379,18,Male,Atakpame,Secondary,11.61,23.78,74.64,9.22,2,9.9,No
2380,31,Female,Notse,Higher,8.46,7.9,71.38,4.17,5,8.7,No
2381,28,Male,Notse,Secondary,10.58,16.49,57.68,15.39,3,10.0,No
2382,28,Female,Kara,Secondary,8.16,10.84,94.57,17.5,4,6.8,No
2383,25,Male,Lome,Secondary,9.43,16.9,85.27,4.03,4,5.6,No
2384,18,Female,Tsevie,Secondary,9.34,21.86,68.82,11.47,3,1.3,Yes
2385,19,Female,Notse,Secondary,6.29,24.21,79.55,10.27,1,4.1,No
2386,28,Female,Atakpame,Primary,16.54,21.7,60.21,4.2,4,4.7,No
2387,32,Female,Notse,Higher,12.63,19.14,43.59,34.79,2,2.2,Yes
2388,17,Male,Atakpame,Secondary,9.94,0.8,52.24,4.25,2,4.6,No
2389,19,Female,Lome,Secondary,12.67,4.19,44.77,9.68,1,3.0,Yes
2390,18,Male,Notse,Secondary,9.49,6.76,70.49,4.78,1,5.0,No
2391,25,Female,Tsevie,Secondary,3.99,18.59,77.32,0.12,0,6.3,Yes
2392,31,Female,Lome,Primary,20.87,2.09,62.83,0.96,3,7.0,No
2393,34,Male,Sokode,None,12.57,18.38,71.81,2.64,4,5.9,No
2394,27,Male,Tsevie,Higher,10.23,17.64,45.13,16.72,3,1.3,Yes
2395,32,Female,Lome,Primary,6.2,0.0,86.2,5.84,4,9.3,Yes
2396,33,Female,Kara,Secondary,7.52,4.12,41.97,8.88,2,8.4,No
2397,21,Male,Notse,None,16.96,25.44,78.07,28.8,2,6.4,No
2398,28,Female,Tsevie,Primary,16.51,21.97,66.0,1.59,3,8.7,Yes
2399,27,Male,Dapaong,None,14.26,6.5,51.03,19.79,2,8.8,No
2400,31,Male,Tsevie,Secondary,8.65,4.65,71.38,4.77,4,3.0,No
2401,19,Male,Sokode,Secondary,16.53,0.0,86.86,4.12,1,3.4,Yes
2402,17,Female,Lome,Primary,13.35,29.71,64.81,9.82,1,1.6,Yes
2403,32,Female,Dapaong,Primary,13.96,15.41,62.06,22.89,4,6.0,No
2404,18,Male,Sokode,Higher,13.34,33.84,48.55,4.29,1,7.4,No
2405,18,Male,Kara,Secondary,7.48,13.08,75.67,14.33,6,2.0,Yes
2406,19,Male,Tsevie,Higher,8.41,17.83,89.68,0.19,3,5.2,Yes
2407,24,Male,Notse,Higher,10.47,23.91,73.68,9.76,2,8.3,No
2408,31,Female,Dapaong,Higher,13.93,31.39,49.91,9.96,1,7.0,Yes
2409,23,Male,Notse,Higher,7.86,20.01,79.67,8.12,2,6.1,Yes
2410,22,Female,Lome,Primary,11.47,15.02,41.81,27.78,2,5.8,No
2411,25,Male,Lome,Higher,11.47,15.28,90.28,27.9,1,4.3,Yes
2412,17,Female,Kara,Higher,14.38,4.54,95.29,4.19,2,4.9,Yes
2413,24,Female,Sokode,Higher,14.02,11.18,75.82,6.09,3,3.6,Yes
2414,19,Female,Dapaong,None,8.97,15.51,92.91,15.72,5,7.1,Yes
2415,20,Female,Kara,Higher,16.34,28.82,45.07,18.57,0,6.8,No
2416,31,Female,Sokode,Secondary,8.51,10.7,53.7,5.41,2,2.8,Yes
2417,22,Male,Atakpame,Secondary,15.28,25.63,59.04,4.29,1,3.4,Yes
2418,31,Male,Atakpame,None,10.35,14.18,86.39,17.18,5,9.9,No
